run,step,progress,lambda_cos,lambda_norm,val,tau,E
corpusA/arch1,0,0.00000,0.99766,1.00000,6.86562,0.0816,43.0596
corpusA/arch1,5,0.06667,0.97898,0.91521,6.02964,0.0980,43.2435
corpusA/arch1,10,0.13333,0.95563,0.80923,4.86938,0.1067,43.2345
corpusA/arch1,15,0.20000,0.92840,0.68562,3.88324,0.1437,43.1361
corpusA/arch1,20,0.26667,0.89875,0.55107,2.75723,0.1939,43.0724
corpusA/arch1,25,0.33333,0.86885,0.41533,1.87365,0.2358,43.0763
corpusA/arch1,30,0.40000,0.84365,0.30097,1.13741,0.2946,43.1308
corpusA/arch1,35,0.46667,0.82520,0.21720,0.62575,0.3254,43.1752
corpusA/arch1,40,0.53333,0.81219,0.15818,0.46994,0.4254,43.1900
corpusA/arch1,45,0.60000,0.80384,0.12029,0.28933,0.4547,43.2205
corpusA/arch1,50,0.66667,0.79673,0.08802,0.18308,0.4643,43.2709
corpusA/arch1,55,0.73333,0.78995,0.05722,0.13463,0.5153,43.2760
corpusA/arch1,60,0.80000,0.78541,0.03663,0.09595,0.5001,43.2736
corpusA/arch1,65,0.86667,0.78232,0.02261,0.07343,0.6349,43.2750
corpusA/arch1,70,0.93333,0.77995,0.01185,0.05237,0.5445,43.2744
corpusA/arch1,75,1.00000,0.77734,0.00000,0.03903,0.4732,43.2751
corpusA/arch1 seed2,0,0.00000,0.99767,1.00000,6.89970,0.0823,43.3911
corpusA/arch1 seed2,5,0.06667,0.97796,0.90888,5.98793,0.0935,43.1093
corpusA/arch1 seed2,10,0.13333,0.95381,0.79722,4.88778,0.1056,42.9956
corpusA/arch1 seed2,15,0.20000,0.92769,0.67644,3.82464,0.1658,43.1352
corpusA/arch1 seed2,20,0.26667,0.89960,0.54655,2.80946,0.2025,43.2174
corpusA/arch1 seed2,25,0.33333,0.87364,0.42653,1.83845,0.2285,43.2464
corpusA/arch1 seed2,30,0.40000,0.85228,0.32775,1.18101,0.2706,43.1484
corpusA/arch1 seed2,35,0.46667,0.83361,0.24144,0.67660,0.3285,43.2106
corpusA/arch1 seed2,40,0.53333,0.82020,0.17945,0.45392,0.3725,43.2434
corpusA/arch1 seed2,45,0.60000,0.81061,0.13511,0.30564,0.3699,43.2628
corpusA/arch1 seed2,50,0.66667,0.80303,0.10007,0.19162,0.4356,43.3028
corpusA/arch1 seed2,55,0.73333,0.79617,0.06833,0.14822,0.4370,43.3195
corpusA/arch1 seed2,60,0.80000,0.79080,0.04353,0.10834,0.4293,43.3137
