order,phase,label,allocated_mb,delta_mb
1,init,params_resident,17.3210,+0.0000
2,forward,embed,17.8534,+0.5325
3,forward,block0.attn,21.5327,+3.6792
4,forward,block0.ff,26.7796,+5.2470
5,forward,block1.attn,30.4696,+3.6900
6,forward,block1.ff,35.7166,+5.2470
7,forward,block2.attn,39.4214,+3.7048
8,forward,block2.ff,44.6971,+5.2756
9,forward,block3.attn,48.9569,+4.2598
10,forward,block3.ff,54.7241,+5.7672
11,forward,block4.attn,59.1805,+4.4564
12,forward,block4.ff,64.9477,+5.7672
13,forward,block5.attn,69.4042,+4.4564
14,forward,block5.ff,75.1713,+5.7672
15,forward,head,78.3027,+3.1314
16,loss,cross_entropy,80.3860,+2.0833
17,backward,head,81.4275,+1.0414
18,backward,block5.ff,74.6301,-6.7973
19,backward,block5.attn,70.7000,-3.9301
20,backward,block4.ff,66.5078,-4.1923
21,backward,block4.attn,62.5777,-3.9301
22,backward,block3.ff,58.3854,-4.1923
23,backward,block3.attn,54.6519,-3.7335
24,backward,block2.ff,50.9512,-3.7007
25,backward,block2.attn,47.7727,-3.1785
26,backward,block1.ff,44.1006,-3.6721
27,backward,block1.attn,40.9364,-3.1642
28,backward,block0.ff,37.2644,-3.6721
29,backward,block0.attn,34.1125,-3.1519
30,backward,embed,34.1120,-0.0005
31,backward,grads_complete,33.5875,-0.5245
32,step,adam_step,76.2514,+42.6639
