order,phase,label,allocated_mb,delta_mb
1,init,params_resident,17.3210,+0.0000
2,forward,embed,17.8534,+0.5325
3,forward,block0.attn,21.5936,+3.7402
4,forward,block0.ff,27.8851,+6.2915
5,forward,block1.attn,32.0978,+4.2127
6,forward,block1.ff,38.3892,+6.2915
7,forward,block2.attn,42.6020,+4.2127
8,forward,block2.ff,48.8934,+6.2915
9,forward,block3.attn,53.1062,+4.2127
10,forward,block3.ff,59.3976,+6.2915
11,forward,block4.attn,63.6104,+4.2127
12,forward,block4.ff,69.9018,+6.2915
13,forward,block5.attn,74.1146,+4.2127
14,forward,block5.ff,80.4060,+6.2915
15,forward,head,83.0172,+2.6112
16,loss,cross_entropy,85.1005,+2.0833
17,backward,head,86.1420,+1.0414
18,backward,block5.ff,79.3457,-6.7963
19,backward,block5.attn,78.8029,-0.5427
20,backward,block4.ff,74.1028,-4.7002
21,backward,block4.attn,73.0358,-1.0670
22,backward,block3.ff,68.3356,-4.7002
23,backward,block3.attn,67.2686,-1.0670
24,backward,block2.ff,62.5684,-4.7002
25,backward,block2.attn,61.5014,-1.0670
26,backward,block1.ff,56.8013,-4.7002
27,backward,block1.attn,55.7343,-1.0670
28,backward,block0.ff,51.0341,-4.7002
29,backward,block0.attn,50.4402,-0.5939
30,backward,embed,50.4397,-0.0005
31,backward,grads_complete,49.9151,-0.5245
32,step,adam_step,107.7015,+57.7864
