regime,subspace,transplant_val,nats_bought,pct_of_descent,E,phi_clean,saturates_at,sweep_spread,monotone
early,Emb,2.61610,1.84318,75.00,43.5129,2,3,1.67220,True
early,FF,3.64350,0.81577,33.19,43.5129,2,,1.04378,True
early,W_K,4.43486,0.02441,0.99,43.3248,4,,0.15166,False
early,W_Q,4.39463,0.06464,2.63,43.5129,2,,0.09161,False
early,W_V,4.27908,0.18020,7.33,43.5129,2,,0.21766,False
early,W_O,4.35280,0.10647,4.33,43.5129,2,,0.18278,False
early,LayerNorm,4.35472,0.10455,4.25,43.5129,2,,0.21150,False
early,other,4.43942,0.01985,0.81,43.5129,2,,0.13268,False
mid,Emb,2.89908,1.56019,39.05,43.5129,2,2,1.75154,False
mid,FF,3.59660,0.86267,21.59,43.5129,2,4,0.87418,False
mid,W_K,4.42613,0.03314,0.83,43.0103,4,,0.18337,False
mid,W_Q,4.46880,-0.00953,-0.24,43.5129,2,,0.25447,False
mid,W_V,4.24445,0.21482,5.38,43.5129,2,,0.27169,False
mid,W_O,4.46365,-0.00438,-0.11,43.5129,2,,0.28675,False
mid,LayerNorm,4.37829,0.08098,2.03,43.5129,2,,0.21026,False
mid,other,4.46906,-0.00979,-0.24,43.5129,2,,0.40203,False
late,Emb,4.67627,-0.21700,-4.95,43.5129,2,4,1.67259,False
late,FF,3.79417,0.66511,15.18,43.5129,2,3,0.82107,False
late,W_K,4.43643,0.02284,0.52,43.4264,3,,0.33223,False
late,W_Q,4.50454,-0.04527,-1.03,43.5129,2,,0.25342,False
late,W_V,4.35398,0.10530,2.40,43.5129,2,,0.24933,False
late,W_O,4.43270,0.02657,0.61,43.5129,2,,0.32975,False
late,LayerNorm,4.44955,0.00972,0.22,43.5129,2,,0.26167,False
late,other,4.41277,0.04651,1.06,43.5129,2,,0.22494,False
