step,val,R_plucker,lambda_cos,dlambda,d2lambda,tau,E,Phi_cl
0,4.25579,0.58732,0.99768,+0.00000,+0.00000,0.1538,43.4900,3
2,3.99443,0.59404,0.98974,-0.00794,+0.00000,0.1176,43.5036,2
4,3.64377,0.59500,0.98029,-0.00945,-0.00151,0.1131,43.3852,4
6,3.35918,0.59352,0.97018,-0.01011,-0.00066,0.1138,43.5129,3
8,3.08119,0.58950,0.96001,-0.01017,-0.00006,0.1283,43.6067,2
10,2.84223,0.59216,0.94986,-0.01015,+0.00002,0.1447,43.4782,2
12,2.64044,0.59527,0.93982,-0.01004,+0.00011,0.1384,43.4889,3
14,2.54937,0.59853,0.92975,-0.01007,-0.00003,0.1492,43.5161,2
16,2.36061,0.60069,0.91989,-0.00986,+0.00021,0.1723,43.4497,3
18,2.20194,0.60100,0.91022,-0.00967,+0.00019,0.2232,43.4125,3
20,2.03940,0.60076,0.90072,-0.00950,+0.00017,0.1983,43.4071,5
22,1.87399,0.60115,0.89146,-0.00926,+0.00024,0.2470,43.4319,4
24,1.84919,0.60190,0.88258,-0.00888,+0.00038,0.2719,43.3388,3
26,1.68261,0.60208,0.87385,-0.00873,+0.00015,0.2475,43.3254,1
28,1.57903,0.60235,0.86518,-0.00867,+0.00006,0.2924,43.4050,2
30,1.39122,0.60408,0.85663,-0.00855,+0.00012,0.2896,43.4034,2
32,1.36385,0.60508,0.84795,-0.00868,-0.00013,0.3459,43.4397,2
34,1.28812,0.60392,0.83943,-0.00852,+0.00016,0.3594,43.4493,1
36,1.25491,0.60297,0.83086,-0.00857,-0.00005,0.3002,43.4678,2
38,1.13731,0.57768,0.82231,-0.00855,+0.00002,0.3322,43.4219,2
40,1.07395,0.59062,0.81391,-0.00840,+0.00015,0.3777,43.3916,4
42,1.01151,0.59437,0.80600,-0.00791,+0.00050,0.3783,43.4146,4
44,0.93839,0.59135,0.79834,-0.00767,+0.00024,0.3661,43.4385,4
46,0.95515,0.58902,0.79087,-0.00747,+0.00019,0.4433,43.4152,4
48,0.82518,0.58790,0.78394,-0.00692,+0.00055,0.3803,43.3419,4
50,0.77538,0.58791,0.77704,-0.00690,+0.00002,0.4909,43.3395,4
52,0.69838,0.58798,0.77030,-0.00674,+0.00016,0.4242,43.3759,3
54,0.68616,0.58853,0.76383,-0.00648,+0.00026,0.4118,43.3638,3
56,0.63113,0.58984,0.75777,-0.00605,+0.00043,0.4476,43.3464,3
58,0.59075,0.59034,0.75194,-0.00584,+0.00022,0.4361,43.3472,4
60,0.56310,0.59083,0.74630,-0.00564,+0.00020,0.4312,43.3355,3
62,0.55701,0.59066,0.74103,-0.00526,+0.00038,0.4337,43.3474,4
64,0.47730,0.59046,0.73607,-0.00496,+0.00031,0.4619,43.3433,4
66,0.49092,0.59156,0.73159,-0.00448,+0.00048,0.4753,43.3079,5
68,0.45302,0.59285,0.72736,-0.00423,+0.00025,0.4355,43.2875,4
70,0.41564,0.59314,0.72408,-0.00329,+0.00094,0.5042,43.2611,3
72,0.39061,0.59196,0.72078,-0.00330,-0.00001,0.4625,43.2252,2
74,0.36116,0.59182,0.71760,-0.00318,+0.00012,0.4713,43.2834,5
76,0.33499,0.59252,0.71454,-0.00306,+0.00011,0.5052,43.3026,5
78,0.30569,0.59261,0.71153,-0.00300,+0.00006,0.5605,43.3019,5
80,0.33087,0.59163,0.70857,-0.00296,+0.00005,0.5073,43.2984,5
82,0.26853,0.59082,0.70581,-0.00277,+0.00019,0.8062,43.2960,4
84,0.25744,0.58969,0.70325,-0.00256,+0.00021,0.4901,43.2829,4
86,0.26673,0.58880,0.70078,-0.00247,+0.00009,0.5369,43.2737,4
88,0.23069,0.58862,0.69855,-0.00223,+0.00024,0.5467,43.2456,3
90,0.25888,0.58879,0.69639,-0.00216,+0.00006,0.5007,43.2327,3
92,0.21156,0.58857,0.69425,-0.00213,+0.00003,0.5149,43.2473,3
94,0.22296,0.58798,0.69212,-0.00213,+0.00001,0.5351,43.2612,2
96,0.19174,0.58755,0.69011,-0.00201,+0.00011,0.6222,43.2751,3
98,0.17897,0.58764,0.68821,-0.00190,+0.00011,0.5553,43.2879,3
100,0.17292,0.58774,0.68633,-0.00189,+0.00001,0.5603,43.3101,2
102,0.17017,0.58792,0.68450,-0.00182,+0.00006,0.6948,43.3003,3
104,0.16660,0.58836,0.68264,-0.00187,-0.00004,0.5322,43.3059,3
106,0.15157,0.58807,0.68088,-0.00175,+0.00011,0.5641,43.3201,3
108,0.14111,0.58829,0.67926,-0.00162,+0.00013,0.6423,43.3283,4
110,0.14219,0.58818,0.67754,-0.00173,-0.00011,0.6302,43.3274,3
112,0.12904,0.58851,0.67581,-0.00172,+0.00000,0.6371,43.3063,3
114,0.13399,0.58849,0.67403,-0.00179,-0.00006,0.5772,43.2999,3
116,0.12689,0.58847,0.67235,-0.00168,+0.00011,0.6372,43.3130,5
118,0.11641,0.58837,0.67080,-0.00155,+0.00013,0.6235,43.3203,5
120,0.12658,0.58930,0.66944,-0.00136,+0.00019,0.5973,43.3258,3
122,0.12198,0.59019,0.66798,-0.00146,-0.00010,0.6323,43.3416,4
124,0.11177,0.59113,0.66650,-0.00149,-0.00003,0.5922,43.3473,4
126,0.11678,0.59133,0.66498,-0.00152,-0.00003,0.6624,43.3453,4
128,0.10536,0.59118,0.66343,-0.00155,-0.00003,0.6159,43.3444,4
130,0.10460,0.59121,0.66188,-0.00154,+0.00001,0.6383,43.3390,5
132,0.10740,0.59121,0.66032,-0.00157,-0.00002,0.5584,43.3444,4
134,0.09011,0.59109,0.65879,-0.00153,+0.00004,0.6134,43.3558,4
136,0.10556,0.59161,0.65714,-0.00165,-0.00012,0.6244,43.3623,4
138,0.10468,0.59222,0.65543,-0.00172,-0.00007,0.7014,43.3752,3
140,0.09167,0.59287,0.65363,-0.00180,-0.00008,0.6044,43.3974,3
142,0.08586,0.59420,0.65183,-0.00180,-0.00001,0.6996,43.4105,3
144,0.10579,0.59548,0.64997,-0.00185,-0.00005,0.6662,43.3794,4
146,0.07907,0.59628,0.64817,-0.00181,+0.00005,0.6662,43.3532,5
148,0.09575,0.59685,0.64631,-0.00186,-0.00005,0.6497,43.3200,5
149,0.09151,0.59669,0.64536,-0.00095,+0.00091,0.8767,43.3091,5
